Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,4258.750000,4267.549805,4209.000000,4235.049805,4202.187988,132726
2023-01-03,4238.799805,4258.100098,4216.100098,4238.350098,4205.462402,162179
2023-01-04,4235.000000,4260.000000,4221.299805,4253.500000,4220.495117,166567
2023-01-05,4265.000000,4303.850098,4241.500000,4297.500000,4264.153320,198985
2023-01-06,4299.500000,4319.299805,4259.100098,4271.750000,4238.603516,126136
2023-01-09,4293.149902,4339.950195,4275.149902,4334.000000,4300.370117,166039
2023-01-10,4320.000000,4348.299805,4283.950195,4288.700195,4255.421875,234153
2023-01-11,4304.950195,4320.000000,4244.399902,4261.899902,4228.829590,254653
2023-01-12,4274.950195,4322.000000,4242.100098,4310.600098,4277.151855,256065
2023-01-13,4324.000000,4341.700195,4290.000000,4320.399902,4286.875488,246926
2023-01-16,4339.700195,4352.750000,4290.049805,4326.049805,4292.481934,89311
2023-01-17,4338.950195,4359.799805,4305.600098,4351.750000,4317.982422,155625
2023-01-18,4351.750000,4394.950195,4342.000000,4364.350098,4330.484863,263693
2023-01-19,4364.850098,4383.149902,4316.549805,4332.200195,4298.584473,248491
2023-01-20,4331.950195,4381.049805,4280.000000,4350.600098,4316.841797,236535
2023-01-23,4359.950195,4365.450195,4319.350098,4337.850098,4304.190430,154053
2023-01-24,4341.000000,4354.799805,4237.000000,4252.750000,4219.750977,264054
2023-01-25,4260.000000,4268.899902,4175.100098,4200.950195,4168.353027,294042
2023-01-27,4280.000000,4380.899902,4253.350098,4314.000000,4280.525391,956288
2023-01-30,4319.950195,4339.450195,4284.950195,4328.799805,4295.210449,374737
2023-01-31,4345.000000,4376.700195,4293.299805,4324.149902,4290.596680,631941
2023-02-01,4341.000000,4380.000000,4310.250000,4351.500000,4317.734375,405454
2023-02-02,4313.000000,4379.049805,4291.549805,4370.100098,4336.190430,389355
2023-02-03,4375.000000,4429.899902,4318.200195,4358.350098,4324.531250,374979
2023-02-06,4380.149902,4380.149902,4285.000000,4349.549805,4315.799316,303221
2023-02-07,4380.649902,4468.250000,4360.250000,4440.250000,4405.795898,597481
2023-02-08,4450.000000,4496.600098,4432.649902,4487.799805,4452.976563,239371
2023-02-09,4444.000000,4529.549805,4433.600098,4487.500000,4452.679199,410962
