Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,3087.899902,3087.899902,3021.000000,3047.250000,3021.816650,1015990
2023-01-03,3047.000000,3059.949951,3025.000000,3028.250000,3002.975098,860367
2023-01-04,3035.000000,3050.000000,3001.550049,3016.850098,2991.670410,836382
2023-01-05,3039.550049,3046.600098,2995.399902,3004.350098,2979.274902,1113920
2023-01-06,3010.000000,3023.500000,2952.000000,2978.399902,2953.541260,1045526
2023-01-09,2993.300049,3017.649902,2951.000000,2984.149902,2959.243164,808263
2023-01-10,2984.149902,2985.000000,2952.199951,2960.350098,2935.642090,864325
2023-01-11,2974.899902,2974.899902,2935.000000,2940.399902,2915.858154,890426
2023-01-12,2939.000000,2939.850098,2896.000000,2915.949951,2891.612549,1558620
2023-01-13,2925.000000,2925.000000,2871.750000,2909.149902,2884.869141,1507864
2023-01-16,2925.000000,2929.600098,2896.000000,2916.050049,2891.711670,644073
2023-01-17,2925.000000,2944.850098,2911.149902,2940.899902,2916.354248,716489
2023-01-18,2947.949951,2960.000000,2929.350098,2945.250000,2920.667969,893808
2023-01-19,2954.899902,2973.600098,2843.600098,2866.149902,2842.228027,2379947
2023-01-20,2848.000000,2848.000000,2781.000000,2787.800049,2764.531982,3171005
2023-01-23,2800.000000,2800.000000,2767.850098,2784.449951,2761.209961,1402260
2023-01-24,2795.000000,2827.100098,2784.449951,2810.600098,2787.141846,1061471
2023-01-25,2810.899902,2811.000000,2767.100098,2775.000000,2751.838867,857953
2023-01-27,2766.600098,2772.850098,2685.850098,2722.649902,2699.925781,1801498
2023-01-30,2724.000000,2776.000000,2696.250000,2766.199951,2743.112305,1171912
2023-01-31,2760.000000,2779.949951,2718.050049,2725.850098,2703.099121,1961805
2023-02-01,2749.800049,2778.000000,2704.800049,2743.750000,2720.849854,1176872
2023-02-02,2741.000000,2741.000000,2694.000000,2705.649902,2683.067627,1308570
2023-02-03,2705.649902,2763.899902,2700.000000,2760.399902,2737.360596,1278409
2023-02-06,2760.399902,2765.000000,2718.000000,2754.199951,2731.212402,1120284
2023-02-07,2762.000000,2774.500000,2748.149902,2758.050049,2735.030273,732250
2023-02-08,2768.000000,2784.000000,2744.300049,2765.600098,2742.517578,811956
2023-02-09,2781.949951,2820.350098,2766.149902,2814.600098,2791.108398,946372
2023-02-10,2830.000000,2830.949951,2793.000000,2804.600098,2781.191895,700072
2023-02-13,2814.500000,2829.000000,2780.000000,2790.750000,2767.457275,467228
2023-02-14,2804.750000,2804.750000,2765.000000,2777.000000,2753.822266,524746
2023-02-15,2777.000000,2798.300049,2754.000000,2786.149902,2762.895752,817717
2023-02-16,2797.000000,2834.350098,2790.100098,2805.949951,2782.530273,788964
2023-02-17,2802.949951,2845.850098,2785.500000,2833.600098,2809.949707,840526
2023-02-20,2845.000000,2852.000000,2812.100098,2825.550049,2801.967041,646218
2023-02-21,2837.000000,2838.699951,2805.000000,2817.100098,2793.587402,631934
2023-02-22,2809.949951,2813.949951,2780.000000,2795.949951,2772.613770,580270
2023-02-23,2805.000000,2805.550049,2700.100098,2705.949951,2683.365234,1790570
2023-02-24,2712.100098,2762.000000,2710.000000,2738.500000,2715.643555,1429040
2023-02-27,2740.399902,2758.649902,2725.050049,2749.899902,2726.948242,561317
2023-02-28,2750.000000,2839.000000,2727.449951,2828.800049,2805.189697,1815923
2023-03-01,2828.000000,2853.300049,2816.050049,2840.899902,2817.188721,816598
2023-03-02,2831.000000,2849.000000,2811.000000,2833.899902,2810.247070,604523
2023-03-03,2837.050049,2852.000000,2810.649902,2828.850098,2805.239502,679295
2023-03-06,2843.000000,2884.000000,2830.250000,2864.550049,2840.641602,1050267
2023-03-08,2870.000000,2870.000000,2827.000000,2859.550049,2835.683105,580250
2023-03-09,2862.000000,2872.449951,2836.850098,2853.550049,2829.733398,774224
2023-03-10,2844.000000,2844.000000,2807.000000,2830.199951,2806.578125,489978
2023-03-13,2823.500000,2849.449951,2772.199951,2784.199951,2760.962158,813217
