Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,215.399994,219.000000,214.500000,218.750000,203.214645,4510175
2023-03-02,218.750000,224.449997,217.350006,222.850006,207.023468,11354939
2023-03-03,223.899994,226.449997,222.399994,222.949997,207.116364,7089438
2023-03-06,222.949997,225.500000,221.750000,224.899994,208.927887,4771341
2023-03-08,224.850006,225.149994,222.649994,224.850006,208.881439,4271464
2023-03-09,224.850006,226.949997,223.649994,224.800003,208.834991,4263468
2023-03-10,222.949997,225.300003,221.449997,224.350006,208.416946,3670173
2023-03-13,224.199997,225.750000,219.350006,220.800003,205.119064,3877606
2023-03-14,220.800003,222.800003,218.850006,221.050003,205.351303,5723922
2023-03-15,221.949997,223.199997,219.600006,219.899994,204.282959,2992144
2023-03-16,218.550003,222.449997,216.350006,220.850006,205.165512,4988245
2023-03-17,222.000000,225.949997,220.100006,221.649994,205.908691,15720256
2023-03-20,220.000000,221.600006,215.699997,217.050003,201.635376,4244575
2023-03-21,218.149994,218.949997,215.949997,217.050003,201.635376,3998751
2023-03-22,216.899994,216.899994,213.100006,213.949997,198.755539,9675449
2023-03-23,213.149994,214.750000,212.399994,213.350006,198.198151,4730918
2023-03-24,213.250000,213.899994,208.000000,208.449997,193.646149,6611089
2023-03-27,208.500000,210.199997,207.600006,208.399994,193.599686,4002212
2023-03-28,209.399994,211.250000,208.449997,208.899994,194.064178,6157526
2023-03-29,209.949997,214.899994,208.399994,212.949997,197.826569,16734166
2023-03-31,212.199997,214.300003,211.149994,213.649994,198.476852,5139018
2023-04-03,214.100006,220.850006,213.800003,220.149994,204.515213,7754066
2023-04-05,220.300003,224.250000,220.300003,222.500000,206.698334,6491910
2023-04-06,222.449997,223.149994,220.300003,221.699997,205.955139,4589598
2023-04-10,221.449997,224.449997,221.149994,222.050003,206.280289,3498235
2023-04-11,222.750000,224.300003,222.000000,223.649994,207.766647,3995959
2023-04-12,224.000000,228.000000,223.649994,227.699997,211.529022,5136012
2023-04-13,227.899994,229.649994,224.449997,225.500000,209.485275,3478451
2023-04-17,225.500000,229.949997,225.399994,229.600006,213.294098,6265943
2023-04-18,229.600006,232.399994,229.250000,232.199997,215.709457,8004952
2023-04-19,233.600006,234.600006,229.000000,230.399994,214.037277,7424582
2023-04-20,229.899994,231.500000,229.100006,229.550003,213.247665,2589165
2023-04-21,230.000000,230.449997,227.449997,230.050003,213.712143,2459508
2023-04-24,229.550003,232.000000,229.550003,231.550003,215.105621,2587030
2023-04-25,231.149994,232.300003,229.899994,230.250000,213.897949,2570946
2023-04-26,230.000000,230.649994,228.000000,229.750000,213.433441,3439487
2023-04-27,229.750000,232.500000,229.149994,231.750000,215.291412,3349374
2023-04-28,232.500000,234.750000,231.600006,233.100006,216.545547,4771074
2023-05-02,233.199997,237.449997,233.100006,236.100006,219.332489,3773537
2023-05-03,236.050003,238.949997,234.600006,236.899994,220.075653,4523385
