Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,269.250000,269.250000,263.000000,263.637512,193.154892,928388
2008-01-02,265.000000,265.250000,257.875000,262.500000,192.321548,2864924
2008-01-03,257.524994,261.250000,251.337494,252.762497,185.187317,5168280
2008-01-04,252.762497,255.725006,250.574997,251.300003,184.115799,2318868
2008-01-07,250.000000,252.199997,243.125000,243.899994,178.694229,3647344
2008-01-08,245.000000,248.000000,242.324997,246.962494,180.937912,3207732
2008-01-09,248.699997,251.500000,247.475006,249.074997,182.485626,2450128
2008-01-10,249.500000,252.375000,240.500000,245.412506,179.802322,3342376
2008-01-11,228.837494,251.000000,228.837494,247.437500,181.285889,2149188
2008-01-14,249.949997,249.949997,238.899994,240.287506,176.047516,4158864
2008-01-15,241.250000,242.000000,233.500000,235.000000,172.173569,2935588
2008-01-16,235.000000,241.675003,231.250000,236.237503,173.080231,3131956
2008-01-17,241.449997,241.500000,229.750000,230.675003,169.004868,6302096
2008-01-18,232.375000,235.000000,224.274994,225.800003,165.433167,4333816
2008-01-21,226.000000,226.175003,201.312500,207.762497,152.217926,4840032
2008-01-22,203.675003,247.500000,181.250000,200.062500,146.576492,6376872
2008-01-23,214.750000,222.500000,201.250000,217.987503,160.310303,5359120
2008-01-24,217.500000,222.000000,206.437500,210.812500,155.033752,2013336
2008-01-25,213.250000,224.425003,212.524994,221.149994,162.636017,2243116
2008-01-28,217.500000,217.500000,206.250000,213.574997,157.065277,2485660
2008-01-29,214.000000,221.149994,213.750000,216.925003,159.528915,3258712
2008-01-30,220.500000,223.000000,215.000000,217.462494,159.924133,3032856
2008-01-31,217.500000,222.500000,208.837494,218.437500,160.641159,5966956
2008-02-01,221.250000,235.274994,218.324997,232.375000,170.890976,4169520
2008-02-04,236.250000,247.250000,234.750000,243.912506,179.375732,3730520
2008-02-05,240.000000,243.750000,233.912506,238.762497,175.588394,1722872
2008-02-06,232.500000,232.500000,223.625000,226.524994,166.588821,4007952
2008-02-07,226.524994,226.524994,217.762497,219.762497,161.615616,2574652
2008-02-08,221.000000,231.250000,220.000000,224.600006,165.173172,2576820
2008-02-11,224.600006,233.000000,215.024994,226.524994,166.588821,3200988
2008-02-12,226.250000,231.250000,215.000000,216.162506,158.968140,5161328
2008-02-13,218.750000,224.250000,212.824997,217.237503,159.758698,2185376
2008-02-14,221.250000,225.000000,215.250000,218.449997,160.650391,2246480
2008-02-15,215.000000,221.762497,215.000000,218.175003,160.448166,2213044
2008-02-18,218.175003,218.750000,212.500000,213.300003,156.863068,1723160
2008-02-19,214.000000,221.000000,213.750000,218.862503,160.953705,1947288
2008-02-20,219.975006,223.662506,218.312500,221.524994,162.911835,3060624
2008-02-21,224.500000,232.750000,220.500000,228.662506,168.160828,3562052
2008-02-22,230.000000,230.225006,221.250000,225.137497,165.568451,2401516
2008-02-25,232.000000,232.250000,222.562500,225.187500,165.605270,3255460
2008-02-26,231.000000,231.000000,223.750000,224.600006,165.173172,4999584
2008-02-27,227.000000,228.712494,218.512497,219.387497,161.339828,2364056
2008-02-28,221.250000,222.500000,218.000000,220.225006,161.955765,5579004
2008-02-29,220.000000,222.925003,215.875000,219.350006,161.312286,3416480
2008-03-03,216.500000,217.175003,210.000000,212.149994,156.017258,3141328
2008-03-04,214.500000,217.500000,211.774994,214.699997,157.892593,3010532
2008-03-05,211.250000,220.699997,211.250000,218.824997,160.926193,2209348
2008-03-07,215.649994,216.524994,210.562500,211.537506,155.566879,1996828
2008-03-10,211.537506,213.500000,207.500000,208.412506,153.268707,2494168
2008-03-11,210.000000,210.000000,205.000000,205.875000,151.402588,4043520
2008-03-12,209.750000,212.500000,202.562500,205.887497,151.411789,1884412
2008-03-13,203.750000,203.750000,190.250000,194.925003,143.349884,3408600
2008-03-14,195.000000,203.225006,187.500000,200.962494,147.789902,2216056
2008-03-17,193.750000,199.425003,192.187500,197.962494,145.583710,1958904
2008-03-18,197.500000,207.199997,192.500000,204.425003,150.336258,3596080
2008-03-19,207.000000,210.000000,201.387497,202.862503,149.187180,4361924
2008-03-24,202.862503,209.375000,202.862503,205.925003,151.439362,3301984
2008-03-25,210.000000,224.962494,208.750000,219.125000,161.146820,2928896
2008-03-26,235.000000,235.000000,212.887497,219.587494,161.486923,2171768
2008-03-27,218.000000,219.000000,210.274994,213.125000,156.734299,6151152
2008-03-28,213.250000,218.675003,213.000000,217.762497,160.144806,3633696
2008-03-31,217.762497,217.762497,199.250000,202.612503,149.003326,4051860
2008-04-01,205.000000,213.225006,202.500000,208.087494,153.029724,2086728
2008-04-02,212.500000,217.250000,212.312500,212.812500,156.504471,1428844
2008-04-03,212.500000,223.000000,212.500000,221.350006,162.783112,3287172
2008-04-04,221.500000,222.475006,215.012497,218.225006,160.484909,2020844
2008-04-07,223.750000,230.024994,219.550003,226.024994,166.221161,3659528
2008-04-08,226.250000,226.750000,218.750000,221.837494,163.141617,4055352
2008-04-09,220.000000,223.000000,217.250000,219.062500,161.100784,1482600
2008-04-10,220.000000,229.912506,219.250000,224.887497,165.384583,2925932
