Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,337.500000,337.500000,318.750000,322.725006,318.604523,843920
2008-01-02,328.750000,351.250000,321.524994,349.187500,344.729126,3057772
2008-01-03,352.250000,352.250000,334.500000,336.812500,332.512146,2198648
2008-01-04,338.750000,349.500000,338.750000,344.625000,340.224854,1655156
2008-01-07,337.500000,359.500000,330.774994,346.850006,342.421509,2422956
2008-01-08,350.875000,351.225006,322.850006,332.037506,327.798187,2099280
2008-01-09,319.049988,335.375000,319.049988,324.325012,320.184082,2689644
2008-01-10,326.225006,334.674988,311.250000,313.137512,309.139465,3028752
2008-01-11,308.000000,316.250000,299.012512,308.412506,304.474731,4769996
2008-01-14,308.412506,321.500000,303.750000,320.075012,315.988373,3642636
2008-01-15,310.037506,329.500000,310.037506,316.299988,312.261536,2389436
2008-01-16,314.500000,314.500000,296.500000,310.850006,306.881073,3118060
2008-01-17,314.487488,322.112488,305.012512,315.625000,311.595123,2699836
2008-01-18,301.412506,315.000000,275.000000,281.649994,278.053986,4006992
2008-01-21,280.000000,284.975006,215.000000,240.925003,237.848923,6409092
2008-01-22,232.500000,262.424988,200.000000,252.824997,249.597000,9209868
2008-01-23,302.200012,302.200012,255.500000,275.924988,272.402069,13171288
2008-01-24,285.000000,291.000000,242.262497,263.225006,259.864166,5471736
2008-01-25,235.012497,277.450012,235.012497,271.912506,268.440796,3396356
2008-01-28,272.500000,281.250000,254.500000,272.587494,269.107178,3311692
2008-01-29,286.250000,287.424988,252.750000,272.024994,268.551819,3582596
2008-01-30,262.575012,274.725006,255.512497,260.387512,257.062927,1425540
2008-01-31,261.174988,270.950012,250.000000,257.149994,253.866760,3794432
2008-02-01,258.750000,261.750000,239.587494,243.162506,240.057861,7402108
2008-02-04,246.250000,253.425003,243.162506,246.587494,243.439102,3248532
2008-02-05,245.000000,249.250000,238.062500,242.037506,238.947189,3661780
2008-02-06,232.500000,237.750000,230.000000,231.125000,228.174026,2664408
2008-02-07,233.000000,238.500000,223.500000,225.837494,222.954041,3625984
2008-02-08,227.500000,227.500000,207.750000,214.600006,211.860016,4805556
2008-02-11,217.000000,223.649994,193.750000,199.350006,196.804764,6509396
2008-02-12,201.274994,215.000000,190.750000,204.524994,201.913666,4362848
2008-02-13,204.524994,219.500000,204.524994,210.987503,208.293625,3315628
2008-02-14,218.774994,222.500000,216.250000,217.512497,214.735352,3320940
2008-02-15,209.149994,226.975006,206.574997,225.199997,222.324677,3240296
2008-02-18,227.500000,236.250000,223.000000,230.312500,227.371918,2509008
