Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,215.000000,216.000000,210.300003,211.100006,191.682114,788440
2008-01-02,211.149994,224.600006,209.000000,218.850006,198.719238,1879937
2008-01-03,218.800003,218.800003,214.100006,216.350006,196.449173,1239789
2008-01-04,214.399994,218.399994,212.550003,213.649994,193.997559,994393
2008-01-07,210.300003,214.000000,210.100006,212.649994,193.089539,1011810
2008-01-08,215.800003,215.800003,208.250000,209.899994,190.592468,1580349
2008-01-09,210.000000,211.899994,207.149994,209.449997,190.183853,726562
2008-01-10,210.500000,211.850006,200.600006,202.800003,184.145584,1779812
2008-01-11,206.949997,207.500000,201.149994,205.449997,186.551849,1454880
2008-01-14,199.350006,207.399994,199.350006,205.250000,186.370224,712604
2008-01-15,213.000000,213.000000,202.100006,204.949997,186.097794,931511
2008-01-16,199.449997,210.050003,199.449997,205.949997,187.005814,1307223
2008-01-17,203.000000,212.399994,203.000000,209.899994,190.592468,1112125
2008-01-18,210.000000,210.000000,199.000000,202.600006,183.963974,1225955
2008-01-21,200.100006,201.250000,182.250000,190.100006,172.613800,2068965
2008-01-22,189.000000,196.000000,160.100006,176.850006,160.582596,1241476
2008-01-23,177.500000,188.899994,171.550003,182.149994,165.395035,1727965
2008-01-24,188.899994,188.899994,170.000000,172.399994,156.541916,837668
2008-01-25,180.000000,185.000000,173.250000,183.350006,166.484665,632756
2008-01-28,180.500000,186.399994,146.699997,184.649994,167.665085,676547
2008-01-29,186.000000,192.000000,185.000000,191.750000,174.112000,637246
2008-01-30,191.000000,193.000000,185.000000,189.199997,171.796570,1145730
2008-01-31,185.149994,192.000000,184.500000,189.250000,171.841995,1055575
2008-02-01,191.000000,198.000000,187.050003,196.399994,178.334274,594379
2008-02-04,199.000000,204.699997,197.149994,199.399994,181.058334,929525
2008-02-05,199.399994,204.100006,197.000000,203.500000,184.781174,1126129
2008-02-06,180.600006,203.000000,180.600006,202.199997,183.600754,579031
2008-02-07,203.449997,203.449997,192.300003,194.649994,176.745270,643241
2008-02-08,194.000000,199.000000,190.600006,194.649994,176.745270,665211
2008-02-11,191.100006,197.000000,182.550003,185.800003,168.709320,981888
2008-02-12,190.949997,192.000000,185.050003,186.550003,169.390289,513078
2008-02-13,186.550003,190.000000,178.149994,179.399994,162.897964,984581
2008-02-14,183.500000,185.000000,179.050003,180.149994,163.579041,1190735
2008-02-15,180.000000,184.899994,178.550003,184.149994,167.211075,501658
2008-02-18,185.000000,186.899994,183.100006,184.800003,167.801270,261302
2008-02-19,186.449997,189.600006,185.399994,188.350006,171.024765,351602
2008-02-20,186.000000,187.600006,183.500000,185.350006,168.300705,386148
2008-02-21,185.350006,189.899994,185.350006,188.750000,171.387955,378217
2008-02-22,188.750000,200.000000,186.000000,198.800003,180.513489,1320630
2008-02-25,200.000000,203.000000,196.250000,202.350006,183.736969,799462
2008-02-26,200.000000,204.149994,199.500000,201.600006,183.055984,340841
2008-02-27,201.600006,204.899994,199.050003,202.199997,183.600754,671970
